1gram,nullpvalue,nullcor,pvalue,cor,valence,country
anaconda,0.560277,0.103,0.104604,0.283,4.43,GB
annulment,0.211717,0.22,0.45823,0.132,4.05,GB
anthropological,0.145466,0.255,0.425377,0.141,5.53,GB
atmospheric,0.157279,-0.248,0.004661,-0.474,5.72,GB
acknowledge,0.383296,-0.154,0.010468,0.433,6.43,GB
approximate,0.228694,0.212,0.005931,-0.462,5.26,GB
armchair,0.220482,-0.216,0.034422,0.364,5.67,GB
audition,0.084441,-0.3,0.145995,0.255,5.2,GB
area,0.522166,0.114,0.008752,-0.443,5.56,GB
acoustic,0.336488,-0.17,0.604636,-0.092,7.1,GB
astonished,0.4678,0.129,0.488175,0.123,6.42,GB
alcoholism,0.235548,-0.209,0.202845,-0.224,2,GB
angle,0.554299,-0.105,0.085212,-0.3,4.55,GB
annul,0.430183,0.14,0.156948,0.248,3.83,GB
anonymity,0.816064,0.041,0.011821,0.427,4.81,GB
authentic,0.502889,0.119,0.007801,0.449,6.91,GB
abject,0.824966,0.039,0.039587,0.355,4,GB
accord,0.243624,0.206,0.002213,-0.507,6.38,GB
autopsy,0.223622,0.214,0.102353,-0.285,2.62,GB
ambient,0.604549,0.092,0.289758,-0.187,6.33,GB
appendicitis,0.430292,-0.14,0.19451,-0.228,1.86,GB
astronomy,0.814856,-0.042,0.938921,-0.014,6,GB
anthropology,0.868558,0.029,0.250916,0.202,5.3,GB
anxiety,0.459472,0.131,0.022627,0.39,2.38,GB
articulate,0.834686,0.037,0.074283,0.31,6.55,GB
air,0.415074,0.144,0.225667,-0.213,6.71,GB
appreciation,0.655521,0.079,0.747364,0.057,7.3,GB
aptitude,0.022324,0.391,0.167257,-0.242,5.95,GB
aptitude,0.022324,0.391,6.10E-07,-0.555,6.71429,FR
accounting,0.684653,-0.072,0.048598,0.341,4.42,GB
auxiliary,0.822921,-0.04,0.028041,-0.377,5.26,GB
apple,0.359318,-0.162,0.153554,0.25,6.62,GB
authorization,0.875216,-0.028,0.002634,0.499,5.86,GB
actress,0.003802,-0.483,0.226125,-0.213,5.42,GB
